year,competition,stage,region,finish_group,finish_order,school,team,award,qualification,source_id,notes
2023,RMUC,全国赛,全国,冠军,1,上海交通大学,交龙,一等奖,,rmuc_2023_national_awards_xlsx,
2023,RMUC,全国赛,全国,亚军,2,东北大学,TDT,一等奖,,rmuc_2023_national_awards_xlsx,
2023,RMUC,全国赛,全国,季军,3,华南理工大学,华南虎,一等奖,,rmuc_2023_national_awards_xlsx,
2023,RMUC,全国赛,全国,殿军,4,华南农业大学,Taurus,一等奖,,rmuc_2023_national_awards_xlsx,
2023,RMUC,全国赛,全国,八强,8,大连交通大学,TOE,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,八强,8,南京航空航天大学,长空御风,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,八强,8,哈尔滨工业大学,I Hiter,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,八强,8,深圳大学,RobotPilots,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,广东工业大学,DynamicX,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,桂林电子科技大学,Evolution,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,南方科技大学,ARTINX,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,浙江大学,Hello World,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,东北林业大学,Ares,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,大连理工大学,凌BUG,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,上海工程技术大学,木鸢Birdiebot,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,十六强,16,西安交通大学,笃行,一等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,三十二强,32,哈尔滨工程大学,创梦之翼,二等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,三十二强,32,哈尔滨工业大学（深圳）,南工骁鹰,二等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
2023,RMUC,全国赛,全国,三十二强,32,哈尔滨工业大学（威海）,HERO,二等奖,,rmuc_2023_national_awards_xlsx,grouped_no_internal_rank
