year,rank,school,team,metric,score,project_doc_bonus,technical_solution_bonus,total_initial_gold_bonus,source_id,notes
2023,1,西北工业大学,WMJ,complete_form_score,705,25,75,100,rmuc_2023_complete_form,
2023,2,广东工业大学,DynamicX,complete_form_score,704,25,75,100,rmuc_2023_complete_form,
2023,3,桂林电子科技大学,Evolution,complete_form_score,704,25,75,100,rmuc_2023_complete_form,
2023,4,东北林业大学,Ares,complete_form_score,703,50,150,200,rmuc_2023_complete_form,
2023,5,西南石油大学,铁人,complete_form_score,701,0,75,75,rmuc_2023_complete_form,
2023,6,浙江大学,Hello World,complete_form_score,700,25,75,100,rmuc_2023_complete_form,
2023,7,东北大学,TDT,complete_form_score,699,50,75,125,rmuc_2023_complete_form,
2023,8,东南大学,3SE,complete_form_score,699,50,75,125,rmuc_2023_complete_form,
2023,9,华南师范大学,PIONEER,complete_form_score,691,50,75,125,rmuc_2023_complete_form,
2023,10,长安大学,VGD,complete_form_score,687,25,0,25,rmuc_2023_complete_form,
2023,11,深圳技术大学,悍匠,complete_form_score,686,25,0,25,rmuc_2023_complete_form,
2023,12,哈尔滨工程大学,创梦之翼,complete_form_score,681,50,150,200,rmuc_2023_complete_form,
2023,13,华南理工大学,华南虎,complete_form_score,680,25,75,100,rmuc_2023_complete_form,
2023,14,四川大学,火锅,complete_form_score,679,0,0,0,rmuc_2023_complete_form,
2023,15,北京理工大学珠海学院,毅恒,complete_form_score,679,25,0,25,rmuc_2023_complete_form,
2023,16,华南农业大学,Taurus,complete_form_score,678,50,0,50,rmuc_2023_complete_form,
2023,17,中国人民解放军国防科技大学,军临,complete_form_score,677,25,75,100,rmuc_2023_complete_form,
2023,18,太原理工大学,TRoMaC,complete_form_score,675,0,0,0,rmuc_2023_complete_form,
2023,19,上海工程技术大学,木鸢Birdiebot,complete_form_score,675,25,0,25,rmuc_2023_complete_form,
2023,20,燕山大学,燕鹰,complete_form_score,675,0,75,75,rmuc_2023_complete_form,
2023,21,山东理工大学,齐奇,complete_form_score,674,0,0,0,rmuc_2023_complete_form,
2023,22,中南大学,FYT,complete_form_score,674,25,0,25,rmuc_2023_complete_form,
2023,23,上海交通大学,交龙,complete_form_score,674,25,75,100,rmuc_2023_complete_form,
2023,24,深圳大学,RobotPilots,complete_form_score,673,25,75,100,rmuc_2023_complete_form,
