year,award_category,award_name,school,team,award,source_id,notes
2023,战术,最佳战术奖,南方科技大学,ARTINX,,rmuc_2023_comprehensive_awards,
2023,技术报告,最佳技术报告奖,东北林业大学,Ares,,rmuc_2023_comprehensive_awards,
2023,技术报告,最佳技术报告奖,华中科技大学,狼牙,,rmuc_2023_comprehensive_awards,
2023,技术报告,最佳技术报告奖,南方科技大学,ARTINX,,rmuc_2023_comprehensive_awards,
2023,技术报告,最佳技术报告奖,太原科技大学,NewMaker,,rmuc_2023_comprehensive_awards,
2023,赛季规划,最佳赛季规划奖,西北工业大学,WMJ,,rmuc_2023_comprehensive_awards,
2023,赛季规划,最佳赛季规划奖,重庆大学,MechaX,,rmuc_2023_comprehensive_awards,
2023,赛季规划,最佳赛季规划奖,厦门大学,RCS,,rmuc_2023_comprehensive_awards,
2023,赛季规划,最佳赛季规划奖,辽宁科技大学,COD,,rmuc_2023_comprehensive_awards,
2023,赛季规划,最佳赛季规划奖,广东工业大学,DynamicX,,rmuc_2023_comprehensive_awards,
2023,赛季规划,最佳赛季规划奖,吉林大学,TARS_Go,,rmuc_2023_comprehensive_awards,
2023,赛季规划,最佳赛季规划奖,首都师范大学,PIE,,rmuc_2023_comprehensive_awards,
2023,设计创意,最佳设计创意奖,南京航空航天大学,长空御风,,rmuc_2023_comprehensive_awards,
2023,设计创意,最佳设计创意奖,深圳大学,RobotPilots,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-二等奖-步兵机器人,上海交通大学,交龙,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-英雄机器人,华南农业大学,Taurus,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-飞镖系统,华南理工大学,华南虎,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-飞镖系统,南京航空航天大学,长空御风,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-工程机器人,华南理工大学,华南虎,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-工程机器人,南京航空航天大学,长空御风,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-工程机器人,深圳大学,RobotPilots,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-哨兵机器人,哈尔滨工业大学,I Hiter,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-哨兵机器人,华南农业大学,Taurus,,rmuc_2023_comprehensive_awards,
2023,技术突破,年度技术突破奖-三等奖-哨兵机器人,深圳大学,RobotPilots,,rmuc_2023_comprehensive_awards,
2024,机器人竞技奖,步兵机器人,华南农业大学,Taurus,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,太原工业学院,火线,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,西安交通大学,笃行,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,北京理工大学,追梦,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,首都师范大学,PIE,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,上海交通大学,交龙,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,南昌大学,Passion,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,电子科技大学中山学院,RoboBraver,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,深圳大学,RobotPilots,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,上海工程技术大学,木鸢Birdiebot,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,西南交通大学,Helios,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,武汉工程大学,Nautilus,一等奖,rmuc_2024_robot_competitive_awards,
2024,机器人竞技奖,步兵机器人,太原理工大学,TRoMaC,一等奖,rmuc_2024_robot_competitive_awards,
