team_id,school,team,group_name,official_group_rank,group_wdl,group_wins,group_losses,opponent_score,avg_base_hp_diff,avg_team_damage,robot_signal_score,robot_signal_rank,combat_damage,combat_hurt_metric,kills,avg_small_hit_rate,infantry_small_hit_rate,hero_big_hit_rate,hero_kills,engineer_econ,dart_hits,radar_signal,source_id,notes
96,五邑大学,IMCA,B,2,1/0/0,1,0,-2.0,11.0,23.0,2.257010,1,3912.500,5300.800,9.500,14.114,46.700,24.200,0.500,800.000,0.000,14.380,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
1513,广州城市理工学院,野狼,B,6,1/0/0,1,0,-2.0,1.0,11.0,1.344859,2,2000.000,3015.500,6.500,12.514,28.900,2.100,0.000,2200.000,2.000,0.000,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
1597,东莞理工学院,ACE,B,3,1/0/0,1,0,-2.0,3.0,14.0,1.114062,3,2572.500,3000.000,5.500,10.843,26.700,12.900,0.000,2187.500,0.000,35.890,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
453,广东工业大学,DynamicX,B,5,1/0/0,1,0,-2.0,2.0,11.0,0.869313,4,2190.000,3017.500,5.500,8.500,28.300,5.000,0.000,1467.500,1.000,0.000,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
454,深圳大学,RobotPilots,B,7,1/0/0,1,0,-2.0,1.0,11.0,0.700268,5,1700.000,2662.000,6.500,9.000,20.900,16.100,0.500,1215.000,0.000,136.760,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
18,仲恺农业工程学院,奇点,A,1,1/0/0,1,0,-1.0,0.0,11.0,0.689594,6,1255.000,3522.700,5.700,8.457,22.300,6.500,0.000,2261.670,0.000,67.490,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
178,桂林理工大学,群星,B,4,1/0/0,1,0,-2.0,3.0,11.0,0.596476,7,2080.000,2209.000,3.500,8.314,27.000,15.200,1.000,1987.500,1.000,0.000,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
145,厦门大学嘉庚学院,TCR,A,6,1/0/0,1,0,-2.0,0.0,10.0,0.480368,8,1385.000,2268.000,7.500,7.314,44.800,0.000,0.000,1887.500,0.000,28.930,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
2157,华南师范大学（佛山校区）,VANGUARD,A,7,1/0/0,1,0,-2.0,0.0,10.0,0.416749,9,1500.000,2950.300,3.000,10.357,29.200,0.000,0.000,1000.000,0.000,76.900,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
1581,华南农业大学,Taurus,A,14,0/0/1,0,1,1.0,0.0,8.0,0.390550,10,1390.100,1330.600,8.000,6.414,20.500,12.400,0.300,2818.330,0.000,0.000,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
179,华南理工大学,华南虎,A,16,0/0/1,0,1,1.0,0.0,8.0,0.174653,11,1231.700,2318.400,4.700,7.486,22.700,8.400,1.000,1141.670,0.000,59.500,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
38,桂林电子科技大学,Evolution,A,5,1/0/0,1,0,-2.0,0.0,10.0,0.169498,12,1530.000,2172.000,5.000,5.971,27.300,7.800,0.000,1475.000,0.000,0.000,official_live_robot_data_json,robot_signal_score=zscore_weighted_combat_econ_dart_radar
