rating_id,model_run_id,school,team,group_name,pre_rating_mu,live_rating_mu,delta_match_result,delta_group_rank,delta_robot_signal,rating_sigma,official_group_rank,group_wdl,source_id,notes
rating_rmuc_2026_south_after16_live_v1_002,rmuc_2026_south_after16_live_v1,上海交通大学,交龙,A,2534.491,2558.307,12.750,8.450,2.616,64.400,8,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_001,rmuc_2026_south_after16_live_v1,华南理工大学,华南虎,A,2563.049,2479.238,-75.055,-11.550,2.794,64.400,16,0/0/1,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_003,rmuc_2026_south_after16_live_v1,深圳大学,RobotPilots,B,2330.647,2370.955,12.954,16.150,11.204,64.400,7,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_005,rmuc_2026_south_after16_live_v1,中南大学,FYT,B,2296.001,2322.279,10.115,24.150,-7.987,64.400,1,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_009,rmuc_2026_south_after16_live_v1,五邑大学,IMCA,B,2174.041,2281.547,13.056,64.450,30.000,64.400,2,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_004,rmuc_2026_south_after16_live_v1,华南农业大学,Taurus,A,2325.695,2250.679,-74.715,-6.550,6.249,64.400,14,0/0/1,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_008,rmuc_2026_south_after16_live_v1,广东工业大学,DynamicX,B,2185.272,2235.989,13.158,23.650,13.909,64.400,5,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_010,rmuc_2026_south_after16_live_v1,电子科技大学中山学院,RoboBraver,A,2151.852,2183.180,13.260,20.050,-1.982,64.400,4,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_006,rmuc_2026_south_after16_live_v1,太原理工大学,TRoMaC,B,2250.366,2145.644,-89.760,-12.450,-2.512,64.400,13,0/0/1,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_007,rmuc_2026_south_after16_live_v1,南昌大学,Passion,B,2220.101,2121.506,-89.454,3.250,-12.391,64.400,9,0/0/1,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_011,rmuc_2026_south_after16_live_v1,桂林电子科技大学,Evolution,A,2063.582,2096.794,12.750,17.750,2.712,64.400,5,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_016,rmuc_2026_south_after16_live_v1,东莞理工学院,ACE,B,1955.760,2068.227,60.792,33.850,17.825,64.400,3,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
rating_rmuc_2026_south_after16_live_v1_015,rmuc_2026_south_after16_live_v1,广州城市理工学院,野狼,B,1990.547,2043.363,12.648,18.650,21.518,64.400,6,1/0/0,official_live_schedule_json,live_after_first_16_matches;update=pre_rating+match_delta+group_rank_delta+robot_signal_delta
