match_id,year,stage,region,round,match_no,team_a,team_b,winner,score_a,score_b,source_url,confidence,source_id,notes
rmuc_2025_south_001,2025,区域赛,南部赛区,A组第1轮,1,华南理工大学 华南虎,桂林理工大学 群星,华南理工大学 华南虎,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2797;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=华南理工大学;red_team=华南虎;blue_school=桂林理工大学;blue_team=群星
rmuc_2025_south_002,2025,区域赛,南部赛区,A组第1轮,2,深圳技术大学 悍匠,广州城市理工学院 野狼,广州城市理工学院 野狼,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2798;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=深圳技术大学;red_team=悍匠;blue_school=广州城市理工学院;blue_team=野狼
rmuc_2025_south_003,2025,区域赛,南部赛区,A组第1轮,3,仲恺农业工程学院 奇点,中国石油大学（华东） RPS,中国石油大学（华东） RPS,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2799;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=仲恺农业工程学院;red_team=奇点;blue_school=中国石油大学（华东）;blue_team=RPS
rmuc_2025_south_004,2025,区域赛,南部赛区,A组第1轮,4,桂林信息科技学院 GIRT,佛山大学 醒狮,桂林信息科技学院 GIRT,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2800;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=桂林信息科技学院;red_team=GIRT;blue_school=佛山大学;blue_team=醒狮
rmuc_2025_south_005,2025,区域赛,南部赛区,A组第1轮,5,桂林电子科技大学 Evolution,厦门大学嘉庚学院 TCR,桂林电子科技大学 Evolution,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2801;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=桂林电子科技大学;red_team=Evolution;blue_school=厦门大学嘉庚学院;blue_team=TCR
rmuc_2025_south_006,2025,区域赛,南部赛区,A组第1轮,6,北方工业大学 DreamTeam,北京信息科技大学 星辰,北方工业大学 DreamTeam,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2802;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=北方工业大学;red_team=DreamTeam;blue_school=北京信息科技大学;blue_team=星辰
rmuc_2025_south_007,2025,区域赛,南部赛区,A组第1轮,7,云南大学 Future,广东工业大学 DynamicX,广东工业大学 DynamicX,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2803;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=云南大学;red_team=Future;blue_school=广东工业大学;blue_team=DynamicX
rmuc_2025_south_008,2025,区域赛,南部赛区,A组第1轮,8,华北科技学院 风暴,深圳职业技术大学 RCIA,华北科技学院 风暴,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2804;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=华北科技学院;red_team=风暴;blue_school=深圳职业技术大学;blue_team=RCIA
rmuc_2025_south_009,2025,区域赛,南部赛区,B组第1轮,9,南方科技大学 ARTINX,太原理工大学 TRoMaC,太原理工大学 TRoMaC,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2805;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=南方科技大学;red_team=ARTINX;blue_school=太原理工大学;blue_team=TRoMaC
rmuc_2025_south_010,2025,区域赛,南部赛区,B组第1轮,10,电子科技大学中山学院 RoboBraver,成都信息工程大学 风信子,电子科技大学中山学院 RoboBraver,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2806;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=电子科技大学中山学院;red_team=RoboBraver;blue_school=成都信息工程大学;blue_team=风信子
rmuc_2025_south_011,2025,区域赛,南部赛区,B组第1轮,11,五邑大学 IMCA,华南农业大学 Taurus,华南农业大学 Taurus,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2807;label_source_post_event=2025-06-05;feature_cutoff=2025-05-15;red_school=五邑大学;red_team=IMCA;blue_school=华南农业大学;blue_team=Taurus
