match_id,year,stage,region,round,match_no,team_a,team_b,winner,score_a,score_b,source_url,confidence,source_id,notes
rmuc_2025_central_001,2025,区域赛,中部赛区,A组第1轮,1,哈尔滨工业大学 I Hiter,武汉工程大学 Nautilus,武汉工程大学 Nautilus,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2886;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=哈尔滨工业大学;red_team=I Hiter;blue_school=武汉工程大学;blue_team=Nautilus
rmuc_2025_central_002,2025,区域赛,中部赛区,A组第1轮,2,沈阳理工大学 Ambition,成都大学 Ultra,沈阳理工大学 Ambition,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2887;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=沈阳理工大学;red_team=Ambition;blue_school=成都大学;blue_team=Ultra
rmuc_2025_central_003,2025,区域赛,中部赛区,A组第1轮,3,东北林业大学 Ares,西安交通大学 笃行,西安交通大学 笃行,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2888;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=东北林业大学;red_team=Ares;blue_school=西安交通大学;blue_team=笃行
rmuc_2025_central_004,2025,区域赛,中部赛区,A组第1轮,4,合肥工业大学（宣城校区） WDR,长沙理工大学 云嵌,合肥工业大学（宣城校区） WDR,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2889;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=合肥工业大学（宣城校区）;red_team=WDR;blue_school=长沙理工大学;blue_team=云嵌
rmuc_2025_central_005,2025,区域赛,中部赛区,A组第1轮,5,浙江大学 Hello World,西南石油大学 铁人,浙江大学 Hello World,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2890;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=浙江大学;red_team=Hello World;blue_school=西南石油大学;blue_team=铁人
rmuc_2025_central_006,2025,区域赛,中部赛区,A组第1轮,6,国防科技大学 军临,湖南大学 跃鹿,国防科技大学 军临,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2891;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=国防科技大学;red_team=军临;blue_school=湖南大学;blue_team=跃鹿
rmuc_2025_central_007,2025,区域赛,中部赛区,A组第1轮,7,南华大学 MA,哈尔滨工程大学 创梦之翼,哈尔滨工程大学 创梦之翼,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2892;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=南华大学;red_team=MA;blue_school=哈尔滨工程大学;blue_team=创梦之翼
rmuc_2025_central_008,2025,区域赛,中部赛区,A组第1轮,8,合肥工业大学 苍穹,湘潭大学 逐曦,合肥工业大学 苍穹,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2893;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=合肥工业大学;red_team=苍穹;blue_school=湘潭大学;blue_team=逐曦
rmuc_2025_central_009,2025,区域赛,中部赛区,B组第1轮,9,南昌大学 Passion,中国科学技术大学 RoboWalker,中国科学技术大学 RoboWalker,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2894;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=南昌大学;red_team=Passion;blue_school=中国科学技术大学;blue_team=RoboWalker
rmuc_2025_central_010,2025,区域赛,中部赛区,B组第1轮,10,华东理工大学 起源,重庆理工大学 士继DREAMER,华东理工大学 起源,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2895;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=华东理工大学;red_team=起源;blue_school=重庆理工大学;blue_team=士继DREAMER
rmuc_2025_central_011,2025,区域赛,中部赛区,B组第1轮,11,西北工业大学 WMJ,上海交通大学 交龙,上海交通大学 交龙,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2896;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西北工业大学;red_team=WMJ;blue_school=上海交通大学;blue_team=交龙
rmuc_2025_central_012,2025,区域赛,中部赛区,B组第1轮,12,四川大学 火锅,河北科技大学 Actor&Thinker,河北科技大学 Actor&Thinker,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2897;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=四川大学;red_team=火锅;blue_school=河北科技大学;blue_team=Actor&Thinker
rmuc_2025_central_013,2025,区域赛,中部赛区,B组第1轮,13,西安电子科技大学 IRobot,西南交通大学 Helios,西安电子科技大学 IRobot,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2898;label_source_post_event=2025-06-05;feature_cutoff=2025-05-20;red_school=西安电子科技大学;red_team=IRobot;blue_school=西南交通大学;blue_team=Helios
