match_id,year,stage,region,round,match_no,team_a,team_b,winner,score_a,score_b,source_url,confidence,source_id,notes
rmuc_2025_east_001,2025,区域赛,东部赛区,A组第1轮,1,北京理工大学 追梦,大连理工大学 凌BUG,大连理工大学 凌BUG,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2974;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=北京理工大学;red_team=追梦;blue_school=大连理工大学;blue_team=凌BUG
rmuc_2025_east_002,2025,区域赛,东部赛区,A组第1轮,2,中北大学 5973,山东理工大学 齐奇,山东理工大学 齐奇,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2975;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=中北大学;red_team=5973;blue_school=山东理工大学;blue_team=齐奇
rmuc_2025_east_003,2025,区域赛,东部赛区,A组第1轮,3,齐鲁工业大学 Adam,东南大学 3SE,齐鲁工业大学 Adam,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2976;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=齐鲁工业大学;red_team=Adam;blue_school=东南大学;blue_team=3SE
rmuc_2025_east_004,2025,区域赛,东部赛区,A组第1轮,4,北京科技大学 Reborn,山东科技大学 SmartRobot,山东科技大学 SmartRobot,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2977;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=北京科技大学;red_team=Reborn;blue_school=山东科技大学;blue_team=SmartRobot
rmuc_2025_east_005,2025,区域赛,东部赛区,A组第1轮,5,东北大学 TDT,中国石油大学（北京） SPR,东北大学 TDT,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2978;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=东北大学;red_team=TDT;blue_school=中国石油大学（北京）;blue_team=SPR
rmuc_2025_east_006,2025,区域赛,东部赛区,A组第1轮,6,辽宁科技大学 COD,东华大学 DIODE,辽宁科技大学 COD,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2979;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=辽宁科技大学;red_team=COD;blue_school=东华大学;blue_team=DIODE
rmuc_2025_east_007,2025,区域赛,东部赛区,A组第1轮,7,浙江理工大学 钱塘蛟,华中科技大学 狼牙,华中科技大学 狼牙,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2980;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=浙江理工大学;red_team=钱塘蛟;blue_school=华中科技大学;blue_team=狼牙
rmuc_2025_east_008,2025,区域赛,东部赛区,A组第1轮,8,宁波工程学院 New Legends,吉林大学 TARS_Go,吉林大学 TARS_Go,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2981;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=宁波工程学院;red_team=New Legends;blue_school=吉林大学;blue_team=TARS_Go
rmuc_2025_east_009,2025,区域赛,东部赛区,B组第1轮,9,哈尔滨工业大学（威海） HERO,燕山大学 燕鹰,哈尔滨工业大学（威海） HERO,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2982;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=哈尔滨工业大学（威海）;red_team=HERO;blue_school=燕山大学;blue_team=燕鹰
rmuc_2025_east_010,2025,区域赛,东部赛区,B组第1轮,10,中国矿业大学 CUBOT,青岛大学 未来,中国矿业大学 CUBOT,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2983;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=中国矿业大学;red_team=CUBOT;blue_school=青岛大学;blue_team=未来
rmuc_2025_east_011,2025,区域赛,东部赛区,B组第1轮,11,同济大学 SuperPower,太原工业学院 火线,太原工业学院 火线,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2984;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=同济大学;red_team=SuperPower;blue_school=太原工业学院;blue_team=火线
rmuc_2025_east_012,2025,区域赛,东部赛区,B组第1轮,12,西安理工大学 NEXT E,首都师范大学 PIE,首都师范大学 PIE,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2985;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=西安理工大学;red_team=NEXT E;blue_school=首都师范大学;blue_team=PIE
rmuc_2025_east_013,2025,区域赛,东部赛区,B组第1轮,13,上海工程技术大学 木鸢Birdiebot,上海科技大学 Magician,上海工程技术大学 木鸢Birdiebot,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2986;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=上海工程技术大学;red_team=木鸢Birdiebot;blue_school=上海科技大学;blue_team=Magician
rmuc_2025_east_014,2025,区域赛,东部赛区,B组第1轮,14,浙江纺织服装职业技术学院 RoboFuture,南京理工大学 Alliance,浙江纺织服装职业技术学院 RoboFuture,2,1,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2987;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=浙江纺织服装职业技术学院;red_team=RoboFuture;blue_school=南京理工大学;blue_team=Alliance
rmuc_2025_east_015,2025,区域赛,东部赛区,B组第1轮,15,天津大学 北洋机甲,南京航空航天大学 长空御风,南京航空航天大学 长空御风,0,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2988;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=天津大学;red_team=北洋机甲;blue_school=南京航空航天大学;blue_team=长空御风
rmuc_2025_east_016,2025,区域赛,东部赛区,B组第1轮,16,河北工业大学 山海机甲,江苏大学 Aurora,河北工业大学 山海机甲,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2989;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=河北工业大学;red_team=山海机甲;blue_school=江苏大学;blue_team=Aurora
rmuc_2025_east_017,2025,区域赛,东部赛区,A组第2轮,17,山东科技大学 SmartRobot,大连理工大学 凌BUG,山东科技大学 SmartRobot,2,0,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2990;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=山东科技大学;red_team=SmartRobot;blue_school=大连理工大学;blue_team=凌BUG
rmuc_2025_east_018,2025,区域赛,东部赛区,A组第2轮,18,山东理工大学 齐奇,华中科技大学 狼牙,华中科技大学 狼牙,1,2,https://bbs.robomaster.com/article/25006,0.78,rm_community_results_2015_2025,tencent_sheet_row=2991;label_source_post_event=2025-06-05;feature_cutoff=2025-05-26;red_school=山东理工大学;red_team=齐奇;blue_school=华中科技大学;blue_team=狼牙
