school,team,region,source_id
电子科技大学中山学院,RoboBraver,南部赛区,rmuc_2026_regional_teams
东莞理工学院,ACE,南部赛区,rmuc_2026_regional_teams
广东工业大学,DynamicX,南部赛区,rmuc_2026_regional_teams
广州城市理工学院,野狼,南部赛区,rmuc_2026_regional_teams
广州航海学院,ICBK破冰船,南部赛区,rmuc_2026_regional_teams
桂林电子科技大学,Evolution,南部赛区,rmuc_2026_regional_teams
桂林理工大学,群星,南部赛区,rmuc_2026_regional_teams
桂林信息科技学院,GIRT,南部赛区,rmuc_2026_regional_teams
国防科技大学,军临,南部赛区,rmuc_2026_regional_teams
华南理工大学,华南虎,南部赛区,rmuc_2026_regional_teams
华南农业大学,Taurus,南部赛区,rmuc_2026_regional_teams
华南师范大学（佛山校区）,VANGUARD,南部赛区,rmuc_2026_regional_teams
华中科技大学,狼牙,南部赛区,rmuc_2026_regional_teams
南昌大学,Passion,南部赛区,rmuc_2026_regional_teams
南华大学,MA,南部赛区,rmuc_2026_regional_teams
厦门大学,RCS,南部赛区,rmuc_2026_regional_teams
厦门大学嘉庚学院,TCR,南部赛区,rmuc_2026_regional_teams
厦门理工学院,PFA,南部赛区,rmuc_2026_regional_teams
上海交通大学,交龙,南部赛区,rmuc_2026_regional_teams
深圳大学,RobotPilots,南部赛区,rmuc_2026_regional_teams
深圳技术大学,悍匠,南部赛区,rmuc_2026_regional_teams
太原理工大学,TRoMaC,南部赛区,rmuc_2026_regional_teams
五邑大学,IMCA,南部赛区,rmuc_2026_regional_teams
武汉大学,珞珈狐,南部赛区,rmuc_2026_regional_teams
武汉工程大学,Nautilus,南部赛区,rmuc_2026_regional_teams
武汉科技大学,崇实,南部赛区,rmuc_2026_regional_teams
西交利物浦大学,GMaster,南部赛区,rmuc_2026_regional_teams
湘潭大学,逐曦,南部赛区,rmuc_2026_regional_teams
长沙理工大学,云嵌,南部赛区,rmuc_2026_regional_teams
中南大学,FYT,南部赛区,rmuc_2026_regional_teams
仲恺农业工程学院,奇点,南部赛区,rmuc_2026_regional_teams
重庆理工大学,士继DREAMER,南部赛区,rmuc_2026_regional_teams
安徽信息工程学院,Artisans,东部赛区,rmuc_2026_regional_teams
北京理工大学（珠海）,毅恒,东部赛区,rmuc_2026_regional_teams
成都大学,Ultra,东部赛区,rmuc_2026_regional_teams
东南大学,3SE,东部赛区,rmuc_2026_regional_teams
福建理工大学,苍侠,东部赛区,rmuc_2026_regional_teams
福建师范大学,PKA,东部赛区,rmuc_2026_regional_teams
广西大学,ROBOTZ,东部赛区,rmuc_2026_regional_teams
哈尔滨工业大学（深圳）,南工骁鹰,东部赛区,rmuc_2026_regional_teams
杭州电子科技大学,PHOENIX,东部赛区,rmuc_2026_regional_teams
合肥工业大学,苍穹,东部赛区,rmuc_2026_regional_teams
