rank,school,score,source_id
1,上海交通大学,25.000,rmu_2025_ranking
2,华南理工大学,23.300,rmu_2025_ranking
3,东北大学,22.700,rmu_2025_ranking
4,浙江大学,21.100,rmu_2025_ranking
5,华南农业大学,20.100,rmu_2025_ranking
6,广东工业大学,20.000,rmu_2025_ranking
6,深圳大学,20.000,rmu_2025_ranking
8,南京航空航天大学,19.700,rmu_2025_ranking
9,哈尔滨工业大学,19.300,rmu_2025_ranking
10,西安交通大学,18.800,rmu_2025_ranking
11,中国石油大学（华东）,18.720,rmu_2025_ranking
12,南方科技大学,18.400,rmu_2025_ranking
13,太原理工大学,18.040,rmu_2025_ranking
14,东南大学,17.940,rmu_2025_ranking
15,哈尔滨工业大学（威海）,17.200,rmu_2025_ranking
16,大连理工大学,17.180,rmu_2025_ranking

