year,school,team,rmul_total_score,rmul_3v3_score,rmul_infantry_score,rmul_engineering_score,best_3v3_finish,best_site,best_award,source_id,notes
2026,贵州师范大学,CEC,128.120,86.240,35.280,6.600,冠军,四川站,一等奖,rmul_2026_awards,3V3对抗赛:四川站:冠军;步兵对抗赛:四川站:亚军;工程挑战赛:四川站:二等奖
2026,江南大学霞客湾校区,SHARK,124.680,73.920,41.160,9.600,亚军,江苏站,一等奖,rmul_2026_awards,3V3对抗赛:江苏站:亚军;步兵对抗赛:江苏站:冠军;工程挑战赛:江苏站:一等奖
2026,火箭军工程大学,东风,124.680,73.920,41.160,9.600,亚军,重庆站,一等奖,rmul_2026_awards,3V3对抗赛:重庆站:亚军;步兵对抗赛:重庆站:冠军;工程挑战赛:重庆站:一等奖
2026,广州铁路职业技术学院,IRONR,106.280,65.120,41.160,0.000,季军,四川站,一等奖,rmul_2026_awards,3V3对抗赛:四川站:季军;步兵对抗赛:四川站:冠军
2026,宁夏理工学院,聚变新星,106.280,65.120,41.160,0.000,季军,华北站,一等奖,rmul_2026_awards,3V3对抗赛:华北站:季军;步兵对抗赛:华北站:冠军
2026,中国科学技术大学,RoboWalker,105.840,105.840,0.000,0.000,冠军,安徽站,一等奖,rmul_2026_awards,3V3对抗赛:安徽站:冠军
2026,东莞理工学院,ACE,105.840,105.840,0.000,0.000,冠军,华南站,一等奖,rmul_2026_awards,3V3对抗赛:华南站:冠军
2026,中国石油大学（华东）,RPS,105.840,105.840,0.000,0.000,冠军,山东站,一等奖,rmul_2026_awards,3V3对抗赛:山东站:冠军
2026,东北大学,TDT,105.840,105.840,0.000,0.000,冠军,东北站,一等奖,rmul_2026_awards,3V3对抗赛:东北站:冠军
2026,浙江大学,Hello World,105.840,105.840,0.000,0.000,冠军,江苏站,一等奖,rmul_2026_awards,3V3对抗赛:江苏站:冠军
2026,西安电子科技大学,IRobot,105.840,105.840,0.000,0.000,冠军,重庆站,一等奖,rmul_2026_awards,3V3对抗赛:重庆站:冠军
2026,武汉工程大学,Nautilus,105.840,105.840,0.000,0.000,冠军,上海站,一等奖,rmul_2026_awards,3V3对抗赛:上海站:冠军
2026,广州航海学院,ICBK破冰船,102.960,58.080,35.280,9.600,殿军,华南站,一等奖,rmul_2026_awards,3V3对抗赛:华南站:殿军;步兵对抗赛:华南站:亚军;工程挑战赛:华南站:一等奖
2026,江西理工大学,乘风,102.960,58.080,35.280,9.600,殿军,华北站,一等奖,rmul_2026_awards,3V3对抗赛:华北站:殿军;步兵对抗赛:华北站:亚军;工程挑战赛:华北站:一等奖
