rating_id,rating_system,rating_version,school,team,as_of_date,rating_mu,rating_sigma,rating_rd,games_played,source_id,notes
rating_rmuc_2025_south_pre_event_v1_001,pre_event_prior_with_upset_risk,v1,华南理工大学,华南虎,2025-05-15,2238.890,45.000,63.059,16,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_002,pre_event_prior_with_upset_risk,v1,桂林理工大学,群星,2025-05-15,1745.525,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_003,pre_event_prior_with_upset_risk,v1,深圳技术大学,悍匠,2025-05-15,1807.220,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_004,pre_event_prior_with_upset_risk,v1,广州城市理工学院,野狼,2025-05-15,1803.020,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_005,pre_event_prior_with_upset_risk,v1,仲恺农业工程学院,奇点,2025-05-15,1572.810,73.790,116.276,4,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_006,pre_event_prior_with_upset_risk,v1,中国石油大学（华东）,RPS,2025-05-15,2101.730,45.000,61.283,17,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_007,pre_event_prior_with_upset_risk,v1,桂林信息科技学院,GIRT,2025-05-15,1924.815,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_008,pre_event_prior_with_upset_risk,v1,佛山大学,醒狮,2025-05-15,1651.000,49.749,78.393,10,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_009,pre_event_prior_with_upset_risk,v1,桂林电子科技大学,Evolution,2025-05-15,1994.060,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_south_pre_event_v1_010,pre_event_prior_with_upset_risk,v1,厦门大学嘉庚学院,TCR,2025-05-15,1720.430,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
