rating_id,rating_system,rating_version,school,team,as_of_date,rating_mu,rating_sigma,rating_rd,games_played,source_id,notes
rating_rmuc_2025_central_pre_event_v1_001,pre_event_prior_with_upset_risk,v1,哈尔滨工业大学,I Hiter,2025-05-20,2177.890,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_002,pre_event_prior_with_upset_risk,v1,武汉工程大学,Nautilus,2025-05-20,1813.685,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_003,pre_event_prior_with_upset_risk,v1,沈阳理工大学,Ambition,2025-05-20,1730.390,45.763,72.111,12,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_004,pre_event_prior_with_upset_risk,v1,成都大学,Ultra,2025-05-20,1744.480,49.749,78.393,10,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_005,pre_event_prior_with_upset_risk,v1,东北林业大学,Ares,2025-05-20,1878.375,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_006,pre_event_prior_with_upset_risk,v1,西安交通大学,笃行,2025-05-20,1959.720,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_007,pre_event_prior_with_upset_risk,v1,合肥工业大学（宣城校区）,WDR,2025-05-20,1777.425,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_008,pre_event_prior_with_upset_risk,v1,长沙理工大学,云嵌,2025-05-20,1476.250,116.673,183.848,1,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_009,pre_event_prior_with_upset_risk,v1,浙江大学,Hello World,2025-05-20,2082.620,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_010,pre_event_prior_with_upset_risk,v1,西南石油大学,铁人,2025-05-20,1817.375,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_011,pre_event_prior_with_upset_risk,v1,国防科技大学,军临,2025-05-20,1740.250,49.749,78.393,10,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_012,pre_event_prior_with_upset_risk,v1,湖南大学,跃鹿,2025-05-20,1761.765,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_013,pre_event_prior_with_upset_risk,v1,南华大学,MA,2025-05-20,1700.085,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_014,pre_event_prior_with_upset_risk,v1,哈尔滨工程大学,创梦之翼,2025-05-20,1946.415,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_015,pre_event_prior_with_upset_risk,v1,合肥工业大学,苍穹,2025-05-20,1746.250,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_central_pre_event_v1_016,pre_event_prior_with_upset_risk,v1,湘潭大学,逐曦,2025-05-20,1675.260,49.749,78.393,10,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
