rating_id,rating_system,rating_version,school,team,as_of_date,rating_mu,rating_sigma,rating_rd,games_played,source_id,notes
rating_rmuc_2025_east_pre_event_v1_001,pre_event_prior_with_upset_risk,v1,北京理工大学,追梦,2025-05-26,2000.840,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_002,pre_event_prior_with_upset_risk,v1,大连理工大学,凌BUG,2025-05-26,1832.865,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_003,pre_event_prior_with_upset_risk,v1,中北大学,5973,2025-05-26,1786.972,45.000,69.488,13,model_design_internal,"profile_source=school_fallback;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_004,pre_event_prior_with_upset_risk,v1,山东理工大学,齐奇,2025-05-26,1778.140,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_005,pre_event_prior_with_upset_risk,v1,齐鲁工业大学,Adam,2025-05-26,1737.550,47.631,75.056,11,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_006,pre_event_prior_with_upset_risk,v1,东南大学,3SE,2025-05-26,1870.065,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_007,pre_event_prior_with_upset_risk,v1,北京科技大学,Reborn,2025-05-26,1874.250,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_008,pre_event_prior_with_upset_risk,v1,山东科技大学,SmartRobot,2025-05-26,1782.475,45.000,69.488,13,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_009,pre_event_prior_with_upset_risk,v1,东北大学,TDT,2025-05-26,2143.675,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_010,pre_event_prior_with_upset_risk,v1,中国石油大学（北京）,SPR,2025-05-26,1862.305,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_011,pre_event_prior_with_upset_risk,v1,辽宁科技大学,COD,2025-05-26,1788.845,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_012,pre_event_prior_with_upset_risk,v1,东华大学,DIODE,2025-05-26,1720.850,49.749,78.393,10,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_013,pre_event_prior_with_upset_risk,v1,浙江理工大学,钱塘蛟,2025-05-26,1523.750,116.673,183.848,1,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_014,pre_event_prior_with_upset_risk,v1,华中科技大学,狼牙,2025-05-26,1868.105,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_015,pre_event_prior_with_upset_risk,v1,宁波工程学院,New Legends,2025-05-26,1486.970,73.790,116.276,4,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_016,pre_event_prior_with_upset_risk,v1,吉林大学,TARS_Go,2025-05-26,1860.110,45.000,65.000,15,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_017,pre_event_prior_with_upset_risk,v1,哈尔滨工业大学（威海）,HERO,2025-05-26,2007.780,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_018,pre_event_prior_with_upset_risk,v1,燕山大学,燕鹰,2025-05-26,1841.145,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_019,pre_event_prior_with_upset_risk,v1,中国矿业大学,CUBOT,2025-05-26,1782.950,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_020,pre_event_prior_with_upset_risk,v1,青岛大学,未来,2025-05-26,1718.680,47.631,75.056,11,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
rating_rmuc_2025_east_pre_event_v1_021,pre_event_prior_with_upset_risk,v1,同济大学,SuperPower,2025-05-26,1938.490,45.000,67.132,14,model_design_internal,"profile_source=exact;feature_sources=historical_results_year<2025,preseason_year<=2025_pre_cutoff,technical_awards_year<2025"
